O*NET-SOC Code,Title,Analytical_Thinking,Emotional_Intelligence,Creativity,Manual_Dexterity,AI_Exposure_Index,Skill_Disruption_Index,Labour_Market_Churn,Repetitiveness,Skill_Diversity,Cognitive_Manual_Ratio,Composite_Risk_Score,Automation_Risk,Cluster
13-1071.00,Human Resources Specialists,0.6197718631178707,0.6257142857142856,0.4566666666666667,0.16025641025641024,0.94,0.97,0.35,0.5,0.1895168997382308,2.578017852579084,0.601,Medium,1
13-1074.00,Farm Labor Contractors,0.28517110266159695,0.4828571428571428,0.2066666666666667,0.44230769230769224,0.94,0.97,0.35,0.5,0.1302315119896072,1.0343701097929365,0.6759999999999999,High,2
13-1075.00,Labor Relations Specialists,0.6653992395437263,0.7871428571428571,0.7066666666666667,0.0,0.94,0.97,0.35,0.5,0.3152180015065855,4.3184175180696664,0.526,Medium,1
13-1081.00,Logisticians,0.6653992395437263,0.7685714285714286,0.7066666666666667,0.0,0.94,0.97,0.35,0.5,0.3115456867823503,4.2812746610010946,0.526,Medium,1
13-1081.01,Logistics Engineers,0.6197718631178707,0.6071428571428572,0.8333333333333334,0.0,0.94,0.97,0.35,0.5,0.3107289962934732,4.120496098947131,0.488,Medium,1
13-1081.02,Logistics Analysts,0.6653992395437263,0.5542857142857142,0.5800000000000001,0.16025641025641024,0.94,0.97,0.35,0.5,0.19481312528084016,2.725736430797843,0.5640000000000001,Medium,1
13-1111.00,Management Analysts,0.7110266159695818,0.8399999999999999,0.6233333333333334,0.0,0.94,0.97,0.35,0.5,0.3237526314080325,4.348719889908391,0.5509999999999999,Medium,1
13-1121.00,"Meeting, Convention, and Event Planners",0.6197718631178707,0.822857142857143,0.7466666666666667,0.4006410256410256,0.94,0.97,0.35,0.5,0.17298383054679942,2.430819391835547,0.514,Medium,0
13-1131.00,Fundraisers,0.6197718631178707,0.7671428571428575,0.6233333333333334,0.0,0.94,0.97,0.35,0.5,0.2961843648421507,4.020496099147131,0.5509999999999999,Medium,1
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",0.5703422053231939,0.5542857142857142,0.54,0.12179487179487175,0.94,0.97,0.35,0.5,0.18934824980676968,2.67713355712739,0.5760000000000001,Medium,1
13-1151.00,Training and Development Specialists,0.6197718631178707,0.8214285714285715,0.7466666666666667,0.0,0.94,0.97,0.35,0.5,0.32459484770485014,4.37573419367475,0.514,Medium,1
13-1161.00,Market Research Analysts and Marketing Specialists,0.6653992395437263,0.5714285714285716,0.6666666666666666,0.03846153846153849,0.94,0.97,0.35,0.5,0.26104628789816764,3.535061166192963,0.538,Medium,1
13-1161.01,Search Marketing Strategists,0.5703422053231939,0.5714285714285716,0.6233333333333334,0.12179487179487175,0.94,0.97,0.35,0.5,0.20355707351862531,2.8387241312415923,0.5509999999999999,Medium,1
13-1199.04,Business Continuity Planners,0.7110266159695818,0.7500000000000001,0.7066666666666667,0.0,0.94,0.97,0.35,0.5,0.31389454294014907,4.3353865566017245,0.526,Medium,1
13-1199.05,Sustainability Specialists,0.6197718631178707,0.6071428571428572,0.7066666666666667,0.0,0.94,0.97,0.35,0.5,0.28180388380488747,3.867162766120464,0.526,Medium,1
13-1199.06,Online Merchants,0.4752851711026616,0.5171428571428573,0.4566666666666667,0.12179487179487175,0.94,0.97,0.35,0.5,0.1650715332096278,2.330502804564356,0.601,Medium,0
13-1199.07,Security Management Specialists,0.6653992395437263,0.7671428571428575,0.7066666666666667,0.3205128205128205,0.94,0.97,0.35,0.5,0.18123202417136466,2.607160677159297,0.526,Medium,1
13-2011.00,Accountants and Auditors,0.5703422053231939,0.5885714285714287,0.4566666666666667,0.03846153846153849,0.94,0.97,0.35,0.5,0.22569395386044372,3.0003634097560052,0.601,Medium,1
13-2022.00,Appraisers of Personal and Business Property,0.5209125475285171,0.4300000000000001,0.4133333333333334,0.24038461538461536,0.94,0.97,0.35,0.5,0.11066298476068513,1.8426178106233795,0.614,Medium,0
13-2023.00,Appraisers and Assessors of Real Estate,0.4752851711026616,0.44714285714285706,0.29000000000000004,0.08012820512820512,0.94,0.97,0.35,0.5,0.1758562536986054,2.0899311832074217,0.651,Medium,0
13-2031.00,Budget Analysts,0.6197718631178707,0.5185714285714285,0.5,0.16025641025641024,0.94,0.97,0.35,0.5,0.17464498841542722,2.4813743021013233,0.5880000000000001,Medium,0
13-2041.00,Credit Analysts,0.6197718631178707,0.44571428571428595,0.4133333333333334,0.19871794871794873,0.94,0.97,0.35,0.5,0.153930018035646,2.1164755861251954,0.614,Medium,0
13-2052.00,Personal Financial Advisors,0.5703422053231939,0.6771428571428573,0.54,0.0,0.94,0.97,0.35,0.5,0.2640525979570422,3.5749701177821622,0.5760000000000001,Medium,1
13-2053.00,Insurance Underwriters,0.5703422053231939,0.5357142857142858,0.5,0.24038461538461536,0.94,0.97,0.35,0.5,0.13125130211109529,2.1692191537960923,0.5880000000000001,Medium,0
13-2061.00,Financial Examiners,0.7110266159695818,0.7485714285714287,0.54,0.03846153846153849,0.94,0.97,0.35,0.5,0.2831289603949226,3.7135392186795895,0.5760000000000001,Medium,1
13-2071.00,Credit Counselors,0.5703422053231939,0.5885714285714287,0.5,0.16025641025641024,0.94,0.97,0.35,0.5,0.17441239634434447,2.512529383452491,0.5880000000000001,Medium,0
13-2072.00,Loan Officers,0.5703422053231939,0.59,0.24666666666666673,0.3205128205128205,0.94,0.97,0.35,0.5,0.15377952205710813,1.7147920606477398,0.6639999999999999,High,0
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",0.6197718631178707,0.5714285714285716,0.29000000000000004,0.282051282051282,0.94,0.97,0.35,0.5,0.15798657674606212,1.893993995850672,0.651,Medium,0
13-2082.00,Tax Preparers,0.4752851711026616,0.5014285714285714,0.4133333333333334,0.12179487179487175,0.94,0.97,0.35,0.5,0.1608597501571895,2.235539623568332,0.614,Medium,0
13-2099.01,Financial Quantitative Analysts,0.7110266159695818,0.5357142857142858,0.5800000000000001,0.16025641025641024,0.94,0.97,0.35,0.5,0.20469467240512146,2.7667143711754947,0.5640000000000001,Medium,1
13-2099.04,"Fraud Examiners, Investigators and Analysts",0.6653992395437263,0.7314285714285716,0.54,0.12179487179487175,0.94,0.97,0.35,0.5,0.23710118479712722,3.114898330162416,0.5760000000000001,Medium,1
15-1211.00,Computer Systems Analysts,0.5703422053231939,0.5700000000000001,0.54,0.282051282051282,0.94,0.97,0.35,0.5,0.12110617195961719,2.1486342925838637,0.5760000000000001,Medium,0
